ID,Company,Stage,Position,Date,Salary,Location,Sector
133,adecco,Ghosted,Senior Data Scientist (Python/SQL/Databricks/Pyspark),14-Apr-24,38218,"London, Greater London",Recruitment
133,adecco,Ghosted,Senior Data Scientist (Python/SQL/Databricks/Pyspark),14-Apr-24,38218,"London, Greater London",Recruitment
134,omnicom,Ghosted,Data Analyst,16-Apr-24,35000,"London, Greater London",Advertising
134,omnicom,Ghosted,Data Analyst,16-Apr-24,35000,"London, Greater London",Advertising
134,omnicom,Ghosted,Data Analyst,16-Apr-24,35000,"London, Greater London",Marketing
135,rbw consulting,Rejected,Python Developer,17-Apr-24,36561,"London, Greater London",Recruitment
135,rbw consulting,Rejected,Python Developer,17-Apr-24,36561,"London, Greater London",Recruitment
135,rbw consulting,Rejected,Python Developer,17-Apr-24,36561,"London, Greater London",Recruitment
136,biovia,Rejected,Scientific Solution Developer (Internship),17-Apr-24,36302,"Cambridge, Cambridgeshire",Technology
136,biovia,Rejected,Scientific Solution Developer (Internship),17-Apr-24,36302,"Cambridge, Cambridgeshire",Biotechnology
136,biovia,Rejected,Scientific Solution Developer (Internship),17-Apr-24,36302,"Cambridge, Cambridgeshire",Technology (Life Sciences)
137,capua,Rejected,Graduate Data Analyst,19-Apr-24,29346,"London, Greater London",Consulting
137,capua,Rejected,Graduate Data Analyst,19-Apr-24,29346,"London, Greater London",Unknown
137,capua,Rejected,Graduate Data Analyst,19-Apr-24,29346,"London, Greater London",Unknown
138,veeva systems inc,Ghosted,Python Data Engineer (Remote),19-Apr-24,29472,"London, Greater London",Technology
138,veeva systems inc,Ghosted,Python Data Engineer (Remote),19-Apr-24,29472,"London, Greater London",Technology
138,veeva systems inc,Ghosted,Python Data Engineer (Remote),19-Apr-24,29472,"London, Greater London",Technology (Life Sciences)
139,speechmatics,Ghosted,Software Engineering Internship (Machine Learning Team),19-Apr-24,50589,"London, Greater London",Technology
139,speechmatics,Ghosted,Software Engineering Internship (Machine Learning Team),19-Apr-24,50589,"London, Greater London",Technology
139,speechmatics,Ghosted,Software Engineering Internship (Machine Learning Team),19-Apr-24,50589,"London, Greater London",Technology (Speech Recognition)
140,ayko digital ltd,Rejected,Data Science & CRO Analyst,21-Apr-24,37006,"London, Greater London",
141,reallymoving,Rejected,Junior Data Analyst,21-Apr-24,27555,"London, Greater London",Real Estate
141,reallymoving,Rejected,Junior Data Analyst,21-Apr-24,27555,"London, Greater London",Real Estate
141,reallymoving,Rejected,Junior Data Analyst,21-Apr-24,27555,"London, Greater London",Real Estate
142,marex,Ghosted,Credit Analyst,22-Apr-24,38118,"London, Greater London",Financial Services
142,marex,Ghosted,Credit Analyst,22-Apr-24,38118,"London, Greater London",Financial Services
142,marex,Ghosted,Credit Analyst,22-Apr-24,38118,"London, Greater London",Financial Services
143,janus henders,Ghosted,ESG Data Analyst,23-Apr-24,26409,"London, Greater London",
144,munich re specialty - global markets,Ghosted,Property Analyst,23-Apr-24,34768,"London, Greater London",Insurance
144,munich re specialty - global markets,Ghosted,Property Analyst,23-Apr-24,34768,"London, Greater London",Insurance
144,munich re specialty - global markets,Ghosted,Property Analyst,23-Apr-24,34768,"London, Greater London",Insurance
145,aspen insurance group,Rejected,Data Graduate,25-Apr-24,26000,"London, Greater London",Insurance
145,aspen insurance group,Rejected,Data Graduate,25-Apr-24,26000,"London, Greater London",Insurance
145,aspen insurance group,Rejected,Data Graduate,25-Apr-24,26000,"London, Greater London",Insurance
146,portfolio information analyst,Rejected,Hiscox,26-Apr-24,30929,"London, Greater London",Financial Services
146,portfolio information analyst,Rejected,Hiscox,26-Apr-24,30929,"London, Greater London",Unknown
146,portfolio information analyst,Rejected,Hiscox,26-Apr-24,30929,"London, Greater London",Unknown
147,jsk consultancy ltd,Ghosted,KYC/AML Analyst,29-Apr-24,34935,"London, Greater London",
148,youlend,Rejected,Data Analyst,30-Apr-24,35000,"London, Greater London",Financial Technology
148,youlend,Rejected,Data Analyst,30-Apr-24,35000,"London, Greater London",Financial Technology
148,youlend,Rejected,Data Analyst,30-Apr-24,35000,"London, Greater London",Financial Technology
149,2i recruit ltd,Ghosted,Report Administrator,30-Apr-24,25651,"London, Greater London",
150,hunter ahp resourcing,Ghosted,CV Enquiry,01-May-24,0,"London, Greater London",Recruitment
150,hunter ahp resourcing,Ghosted,CV Enquiry,01-May-24,0,"London, Greater London",Recruitment
150,hunter ahp resourcing,Ghosted,CV Enquiry,01-May-24,0,"London, Greater London",Recruitment
151,financial conduct authority,Ghosted,Data Analyst (12 month Fixed-Term Contract),01-May-24,35000,"London, Greater London",Government
151,financial conduct authority,Ghosted,Data Analyst (12 month Fixed-Term Contract),01-May-24,35000,"London, Greater London",Government
151,financial conduct authority,Ghosted,Data Analyst (12 month Fixed-Term Contract),01-May-24,35000,"London, Greater London",Government
152,randstad,Ghosted,Lab Technician,01-May-24,36102,"London, Greater London",Recruitment
152,randstad,Ghosted,Lab Technician,01-May-24,36102,"London, Greater London",Recruitment
152,randstad,Ghosted,Lab Technician,01-May-24,36102,"London, Greater London",Recruitment
153,adecco,Ghosted,Lab Technician (food science) - temp contract,01-May-24,31211,"London, Greater London",Recruitment
153,adecco,Ghosted,Lab Technician (food science) - temp contract,01-May-24,31211,"London, Greater London",Recruitment
153,adecco,Ghosted,Lab Technician (food science) - temp contract,01-May-24,31211,"London, Greater London",Recruitment
154,aspire people,Ghosted,Secondary Science Teacher,01-May-24,25467,"London, Greater London",Recruitment
154,aspire people,Ghosted,Secondary Science Teacher,01-May-24,25467,"London, Greater London",Recruitment
154,aspire people,Ghosted,Secondary Science Teacher,01-May-24,25467,"London, Greater London",Recruitment
