ID,Company,Stage,Position,Date,Salary,Location
171,Octopus Energy Group,Rejected,Software Engineer,14-May-24,42621,"London, Greater London"
172,Hays,Ghosted,Data Analyst ERP Systems,16-May-24,35000,"London, Greater London"
173,Gekko,Ghosted,Junior Data Analyst,16-May-24,36894,"Bury, Berkshire"
174,Xelix,Ghosted,Python Developer,17-May-24,35338,"London, Greater London"
175,How to Job Ltd,Ghosted,Entry-Level Data Analyst,19-May-24,33398,"Manchester, Lancashire"
176,Gate.io,Rejected,API Intern,20-May-24,35491,"London, Greater London"
177,Aviva,Rejected,Data Engineering Associate,20-May-24,45000,"London, Greater London"
178,Connexa,Ghosted,Data Analyst,21-May-24,35000,"London, Greater London"
179,Ambee Beauty Clinic,Rejected,Digital Marketing Analyst,21-May-24,39426,"London, Greater London"
180,Pennylane,Rejected,Backend Engineer Ruby on Rails,25-May-24,25428,"London, Greater London"
181,VFS Global UK Limited,Ghosted,Operational Support Analyst,25-May-24,30901,"London, Greater London"
182,Local Solution,Ghosted,Data Guru,31-May-24,26000,"London, Greater London"
183,Roundsys Ltd,Ghosted,Business Analyst,04-Jun-24,30124,"London, Greater London"
184,Sammons Recruitment Ltd,Ghosted,Finance Analyst,09-Jun-24,35337,"London, Greater London"
185,Sammons Recruitment Ltd,Ghosted,Finance Analyst,09-Jun-24,25921,"London, Greater London"
186,Berkeley Square IT Ltd,Ghosted,Junior Database Developer,09-Jun-24,30509,"London, Greater London"
187,Berkeley Square IT Ltd,Ghosted,Junior Database Developer,09-Jun-24,37755,"London, Greater London"
188,GoLondon Group,Ghosted,Junior Energy Analyst,09-Jun-24,27258,"London, Greater London"
189,Career Sprint,Ghosted,Trainee Data Analyst,09-Jun-24,33839,"London, Greater London"
190,Diversita,Rejected,Data Consultant - London,10-Jun-24,30000,"London, Greater London"
191,TXM Recruit,Ghosted,Graduate Data Analyst,10-Jun-24,37798,"London, Greater London"
192,Reds10 (UK) Ltd,Ghosted,Graduate Data Analyst,10-Jun-24,38893,"London, Greater London"
193,TXM Recruit,Ghosted,Graduate Data Analyst,10-Jun-24,37178,"London, Greater London"
194,EDF Limited,Ghosted,Data Engineer,11-Jun-24,30000,"London, Greater London"
195,Barrington James,Ghosted,Python RPA Developer,13-Jun-24,34728,"London, Greater London"
196,BBC,Ghosted,Data Science Degree Apprenticeship - Level 6 - London - Product Group,15-Jun-24,31515,"London, Greater London"
197,Energy Jobline,Ghosted,Data Scientist,15-Jun-24,37300,"London, Greater London"
198,AQA,Ghosted,Assessment Analyst,16-Jun-24,39986,"London, Greater London"
199,Hyper Recruitment Solutions LTD,Ghosted,Biologist,17-Jun-24,36425,"London, Greater London"
200,Aviva,Rejected,Data Graduate,17-Jun-24,26000,"London, Greater London"
201,S3 Science,Ghosted,Junior Biomedical Scientist,17-Jun-24,31147,"London, Greater London"
202,Enterprise Recruitment Ltd,Ghosted,Junior Data Scientist,17-Jun-24,31801,"London, Greater London"
203,Northreach,Ghosted,Quality Control Scientist I / II,17-Jun-24,39382,"London, Greater London"
204,Northreach,Ghosted,Scientist,17-Jun-24,36460,"London, Greater London"
205,BJSS,Ghosted,Software Engineer,17-Jun-24,53304,"London, Greater London"
206,Career Sprint,Ghosted,Trainee Data Analyst,17-Jun-24,33839,"London, Greater London"
207,Career Sprint,Ghosted,Trainee Data Analyst,17-Jun-24,33839,"London, Greater London"
208,Hatched Recruitment Group,Rejected,Data Analyst,19-Jun-24,35000,"London, Greater London"
209,Funding Circle,Ghosted,Analytics Engineer,20-Jun-24,35371,"London, Greater London"
210,Lidl GB,Ghosted,Customs Data Analyst 12 month FTC,20-Jun-24,36114,"London, Greater London"
211,Zurich Insurance Company Ltd,Rejected,Data And Analytics Graduate Programme 2025 - London,20-Jun-24,32063,"London, Greater London"
212,Bending Spoons,Ghosted,Data Analyst,22-Jun-24,35000,"London, Greater London"
213,AlphaSights,Rejected,Graduate Product Analyst,22-Jun-24,37897,"London, Greater London"
214,Xcede UK,Ghosted,Data Analyst / Analytics Engineer,23-Jun-24,35000,"London, Greater London"
215,3H Partners,Ghosted,Junior Business Analyst,23-Jun-24,27030,"London, Greater London"
216,Elpis Maritime Limited,Rejected,Investment Analyst,27-Jun-24,37387,"London, Greater London"
217,EvolveYou,Rejected,Junior Data Analyst,27-Jun-24,29606,"London, Greater London"
218,Ki,Rejected,Data Analyst,29-Jun-24,35000,"London, Greater London"
219,Lightyear,Rejected,Data Analyst,30-Jun-24,35000,"London, Greater London"
220,Diamond Light Source,Ghosted,Data Analysis Scientist,02-Jul-24,34488,"London, Greater London"
